Life,Animalia
Lepadiformes,Lepadidae
Lepadidae,Lepas
Lepas,Lepas anatifera
Lepas,Lepas anserifera
Arthropoda,Insecta
Insecta,Blattodea
Blattodea,Blaberidae
Blaberidae,Aptera
Aptera,Aptera fusca
Blaberidae,Panchlora
Panchlora,Panchlora nivea
Blaberidae,Pycnoscelus
Pycnoscelus,Pycnoscelus surinamensis
Blattodea,Blattidae
Blattidae,Blatta
Blatta,Blatta orientalis
Blattidae,Periplaneta
Periplaneta,Periplaneta americana
Periplaneta,Periplaneta australasiae
Periplaneta,Periplaneta fuliginosa
Blattodea,Ectobiidae
Ectobiidae,Pseudomops
Pseudomops,Pseudomops septentrionalis
Insecta,Coleoptera
Coleoptera,Brentidae
Brentidae,Arrhenodes
Arrhenodes,Arrhenodes minutus
Coleoptera,Buprestidae
Buprestidae,Agrilus
Agrilus,Agrilus planipennis
Buprestidae,Buprestis
Buprestis,Buprestis aurulenta
Buprestidae,Euchroma
Euchroma,Euchroma giganteum
Coleoptera,Cantharidae
Cantharidae,Atalantycha
Atalantycha,Atalantycha bilineata
Cantharidae,Cantharis
Cantharis,Cantharis fusca
Cantharis,Cantharis livida
Cantharis,Cantharis rustica
Cantharidae,Chauliognathus
Chauliognathus,Chauliognathus basalis
Chauliognathus,Chauliognathus marginatus
Chauliognathus,Chauliognathus pensylvanicus
Cantharidae,Rhagonycha
Rhagonycha,Rhagonycha fulva
Coleoptera,Carabidae
Carabidae,Calosoma
Calosoma,Calosoma scrutator
Carabidae,Carabus
Carabus,Carabus coriaceus
Carabus,Carabus granulatus
Carabus,Carabus nemoralis
Carabidae,Cicindela
Cicindela,Cicindela aurulenta
Cicindela,Cicindela campestris
Cicindela,Cicindela duodecimguttata
Cicindela,Cicindela formosa
Cicindela,Cicindela hirticollis
Cicindela,Cicindela hybrida
Cicindela,Cicindela longilabris
Cicindela,Cicindela ocellata
Cicindela,Cicindela oregona
Cicindela,Cicindela punctulata
Cicindela,Cicindela purpurea
Cicindela,Cicindela repanda
Cicindela,Cicindela scutellaris
Cicindela,Cicindela sexguttata
Cicindela,Cicindela tranquebarica
Cicindela,Cicindela trifasciata
Carabidae,Harpalus
Harpalus,Harpalus rufipes
Carabidae,Scaphinotus
Scaphinotus,Scaphinotus angusticollis
Carabidae,Scarites
Scarites,Scarites subterraneus
Carabidae,Tetracha
Tetracha,Tetracha carolina
Coleoptera,Cerambycidae
Cerambycidae,Agapanthia
Agapanthia,Agapanthia villosoviridescens
Cerambycidae,Analeptura
Analeptura,Analeptura lineola
Cerambycidae,Aromia
Aromia,Aromia moschata
Cerambycidae,Cerambyx
Cerambyx,Cerambyx scopolii
Cerambycidae,Clytus
Clytus,Clytus arietis
Clytus,Clytus ruricola
Cerambycidae,Dendrobias
Dendrobias,Dendrobias mandibularis
Cerambycidae,Desmocerus
Desmocerus,Desmocerus palliatus
Cerambycidae,Eburia
Eburia,Eburia quadrigeminata
Cerambycidae,Elaphidion
Elaphidion,Elaphidion mucronatum
Cerambycidae,Graphisurus
Graphisurus,Graphisurus fasciatus
Cerambycidae,Knulliana
Knulliana,Knulliana cincta
Cerambycidae,Leptura
Leptura,Leptura quadrifasciata
Cerambycidae,Lepturobosca
Lepturobosca,Lepturobosca chrysocoma
Cerambycidae,Mallodon
Mallodon,Mallodon dasystomus
Cerambycidae,Megacyllene
Megacyllene,Megacyllene robiniae
Cerambycidae,Monochamus
Monochamus,Monochamus clamator
Monochamus,Monochamus notatus
Monochamus,Monochamus scutellatus
Cerambycidae,Morimus
Morimus,Morimus asper
Cerambycidae,Neoclytus
Neoclytus,Neoclytus acuminatus
Cerambycidae,Orthosoma
Orthosoma,Orthosoma brunneum
Cerambycidae,Plectrodera
Plectrodera,Plectrodera scalator
Cerambycidae,Prionoplus
Prionoplus,Prionoplus reticularis
Cerambycidae,Prionus
Prionus,Prionus californicus
Prionus,Prionus coriarius
Prionus,Prionus imbricornis
Prionus,Prionus laticollis
Cerambycidae,Pseudovadonia
Pseudovadonia,Pseudovadonia livida
Cerambycidae,Rhagium
Rhagium,Rhagium inquisitor
Rhagium,Rhagium mordax
Cerambycidae,Rosalia
Rosalia,Rosalia funebris
Cerambycidae,Rutpela
Rutpela,Rutpela maculata
Cerambycidae,Sphaenothecus
Sphaenothecus,Sphaenothecus bilineatus
Cerambycidae,Stenurella
Stenurella,Stenurella melanura
Cerambycidae,Stictoleptura
Stictoleptura,Stictoleptura canadensis
Stictoleptura,Stictoleptura rubra
Cerambycidae,Strangalepta
Strangalepta,Strangalepta abbreviata
Cerambycidae,Strangalia
Strangalia,Strangalia luteicornis
Cerambycidae,Tetraopes
Tetraopes,Tetraopes femoratus
Tetraopes,Tetraopes tetrophthalmus
Cerambycidae,Trichocnemis
Trichocnemis,Trichocnemis spiculatus
Cerambycidae,Typocerus
Typocerus,Typocerus velutinus
Typocerus,Typocerus zebra
Cerambycidae,Xylotrechus
Xylotrechus,Xylotrechus colonus
Coleoptera,Chrysomelidae
Chrysomelidae,Acalymma
Acalymma,Acalymma vittatum
Chrysomelidae,Agelastica
Agelastica,Agelastica alni
Chrysomelidae,Anomoea
Anomoea,Anomoea laticlavia
Chrysomelidae,Aspidimorpha
Aspidimorpha,Aspidimorpha miliaris
Chrysomelidae,Cassida
Cassida,Cassida rubiginosa
Chrysomelidae,Cerotoma
Cerotoma,Cerotoma trifurcata
Chrysomelidae,Charidotella
Charidotella,Charidotella sexpunctata
Chrysomelidae,Chrysochus
Chrysochus,Chrysochus auratus
Chrysochus,Chrysochus cobaltinus
Chrysomelidae,Chrysolina
Chrysolina,Chrysolina americana
Chrysolina,Chrysolina bankii
Chrysolina,Chrysolina fastuosa
Chrysomelidae,Chrysomela
Chrysomela,Chrysomela populi
Chrysomela,Chrysomela scripta
Chrysomela,Chrysomela vigintipunctata
Chrysomelidae,Clytra
Clytra,Clytra laeviuscula
Chrysomelidae,Deloyala
Deloyala,Deloyala guttata
Chrysomelidae,Diabrotica
Diabrotica,Diabrotica balteata
Diabrotica,Diabrotica undecimpunctata
Chrysomelidae,Disonycha
Disonycha,Disonycha glabrata
Chrysomelidae,Galeruca
Galeruca,Galeruca tanaceti
Chrysomelidae,Gastrophysa
Gastrophysa,Gastrophysa viridula
Chrysomelidae,Helocassis
Helocassis,Helocassis clavata
Chrysomelidae,Labidomera
Labidomera,Labidomera clivicollis
Chrysomelidae,Lema
Lema,Lema daturaphila
Chrysomelidae,Leptinotarsa
Leptinotarsa,Leptinotarsa decemlineata
Leptinotarsa,Leptinotarsa juncta
Chrysomelidae,Lilioceris
Lilioceris,Lilioceris lilii
Chrysomelidae,Omophoita
Omophoita,Omophoita cyanipennis
Chrysomelidae,Ophraella
Ophraella,Ophraella communa
Chrysomelidae,Plagiodera
Plagiodera,Plagiodera versicolora
Chrysomelidae,Timarcha
Timarcha,Timarcha tenebricosa
Chrysomelidae,Trachymela
Trachymela,Trachymela sloanei
Chrysomelidae,Xanthogaleruca
Xanthogaleruca,Xanthogaleruca luteola
Chrysomelidae,Zygogramma
Zygogramma,Zygogramma signatipennis
Coleoptera,Cleridae
Cleridae,Trichodes
Trichodes,Trichodes alvearius
Trichodes,Trichodes apiarius
Trichodes,Trichodes ornatus
Coleoptera,Coccinellidae
Coccinellidae,Adalia
Adalia,Adalia bipunctata
Adalia,Adalia decempunctata
Coccinellidae,Anatis
Anatis,Anatis ocellata
Coccinellidae,Calvia
Calvia,Calvia quatuordecimguttata
Coccinellidae,Cheilomenes
Cheilomenes,Cheilomenes lunata
Cheilomenes,Cheilomenes sexmaculata
Coccinellidae,Chilocorus
Chilocorus,Chilocorus stigma
Coccinellidae,Coccinella
Coccinella,Coccinella californica
Coccinella,Coccinella septempunctata
Coccinella,Coccinella transversalis
Coccinella,Coccinella trifasciata
Coccinella,Coccinella undecimpunctata
Coccinellidae,Coelophora
Coelophora,Coelophora inaequalis
Coccinellidae,Coleomegilla
Coleomegilla,Coleomegilla maculata
Coccinellidae,Cryptolaemus
Cryptolaemus,Cryptolaemus montrouzieri
Coccinellidae,Cycloneda
Cycloneda,Cycloneda munda
Cycloneda,Cycloneda polita
Cycloneda,Cycloneda sanguinea
Coccinellidae,Epilachna
Epilachna,Epilachna mexicana
Coccinellidae,Exochomus
Exochomus,Exochomus quadripustulatus
Coccinellidae,Halmus
Halmus,Halmus chalybeus
Coccinellidae,Halyzia
Halyzia,Halyzia sedecimguttata
Coccinellidae,Harmonia
Harmonia,Harmonia axyridis
Harmonia,Harmonia conformis
Coccinellidae,Henosepilachna
Henosepilachna,Henosepilachna vigintioctopunctata
Coccinellidae,Hippodamia
Hippodamia,Hippodamia convergens
Hippodamia,Hippodamia variegata
Coccinellidae,Illeis
Illeis,Illeis galbula
Coccinellidae,Olla
Olla,Olla v-nigrum
Coccinellidae,Propylea
Propylea,Propylea quatuordecimpunctata
Coccinellidae,Psyllobora
Psyllobora,Psyllobora vigintiduopunctata
Psyllobora,Psyllobora vigintimaculata
Coleoptera,Curculionidae
Curculionidae,Cactophagus
Cactophagus,Cactophagus spinolae
Curculionidae,Cyrtepistomus
Cyrtepistomus,Cyrtepistomus castaneus
Curculionidae,Diaprepes
Diaprepes,Diaprepes abbreviatus
Curculionidae,Larinus
Larinus,Larinus carlinae
Curculionidae,Otiorhynchus
Otiorhynchus,Otiorhynchus sulcatus
Curculionidae,Pantomorus
Pantomorus,Pantomorus cervinus
Curculionidae,Phyllobius
Phyllobius,Phyllobius pomaceus
Curculionidae,Polydrusus
Polydrusus,Polydrusus formosus
Curculionidae,Rhodobaenus
Rhodobaenus,Rhodobaenus quinquepunctatus
Curculionidae,Rhynchophorus
Rhynchophorus,Rhynchophorus ferrugineus
Coleoptera,Dermestidae
Dermestidae,Anthrenus
Anthrenus,Anthrenus verbasci
Dermestidae,Dermestes
Dermestes,Dermestes lardarius
Coleoptera,Elateridae
Elateridae,Agrypnus
Agrypnus,Agrypnus murinus
Elateridae,Alaus
Alaus,Alaus lusciosus
Alaus,Alaus oculatus
Coleoptera,Erotylidae
Erotylidae,Cypherotylus
Cypherotylus,Cypherotylus californicus
Erotylidae,Megalodacne
Megalodacne,Megalodacne heros
Coleoptera,Geotrupidae
Geotrupidae,Anoplotrupes
Anoplotrupes,Anoplotrupes stercorosus
Geotrupidae,Trypocopris
Trypocopris,Trypocopris vernalis
Coleoptera,Lampyridae
Lampyridae,Ellychnia
Ellychnia,Ellychnia corrusca
Lampyridae,Lampyris
Lampyris,Lampyris noctiluca
Lampyridae,Lucidota
Lucidota,Lucidota atra
Lampyridae,Photinus
Photinus,Photinus pyralis
Coleoptera,Lucanidae
Lucanidae,Dorcus
Dorcus,Dorcus parallelipipedus
Lucanidae,Lucanus
Lucanus,Lucanus capreolus
Lucanus,Lucanus cervus
Lucanus,Lucanus elaphus
Lucanidae,Serrognathus
Serrognathus,Serrognathus titanus
Coleoptera,Lycidae
Lycidae,Calopteron
Calopteron,Calopteron reticulatum
Calopteron,Calopteron terminale
Coleoptera,Meloidae
Meloidae,Cysteodemus
Cysteodemus,Cysteodemus armatus
Meloidae,Epicauta
Epicauta,Epicauta pennsylvanica
Meloidae,Lytta
Lytta,Lytta magister
Meloidae,Meloe
Meloe,Meloe proscarabaeus
Meloe,Meloe violaceus
Coleoptera,Melyridae
Melyridae,Malachius
Malachius,Malachius bipustulatus
Coleoptera,Oedemeridae
Oedemeridae,Oedemera
Oedemera,Oedemera femorata
Oedemera,Oedemera nobilis
Coleoptera,Passalidae
Passalidae,Odontotaenius
Odontotaenius,Odontotaenius disjunctus
Coleoptera,Pyrochroidae
Pyrochroidae,Pyrochroa
Pyrochroa,Pyrochroa coccinea
Pyrochroa,Pyrochroa serraticornis
Coleoptera,Scarabaeidae
Scarabaeidae,Amphimallon
Amphimallon,Amphimallon solstitiale
Scarabaeidae,Callistethus
Callistethus,Callistethus marginatus
Scarabaeidae,Cetonia
Cetonia,Cetonia aurata
Scarabaeidae,Cotinis
Cotinis,Cotinis mutabilis
Cotinis,Cotinis nitida
Scarabaeidae,Digitonthophagus
Digitonthophagus,Digitonthophagus gazella
Scarabaeidae,Dynastes
Dynastes,Dynastes tityus
Scarabaeidae,Euphoria
Euphoria,Euphoria basalis
Euphoria,Euphoria inda
Euphoria,Euphoria kernii
Euphoria,Euphoria sepulcralis
Scarabaeidae,Exomala
Exomala,Exomala orientalis
Scarabaeidae,Macrodactylus
Macrodactylus,Macrodactylus subspinosus
Scarabaeidae,Melolontha
Melolontha,Melolontha melolontha
Scarabaeidae,Oryctes
Oryctes,Oryctes nasicornis
Scarabaeidae,Osmoderma
Osmoderma,Osmoderma scabra
Scarabaeidae,Oxythyrea
Oxythyrea,Oxythyrea funesta
Scarabaeidae,Pelidnota
Pelidnota,Pelidnota punctata
Scarabaeidae,Phanaeus
Phanaeus,Phanaeus vindex
Scarabaeidae,Phyllopertha
Phyllopertha,Phyllopertha horticola
Scarabaeidae,Polyphylla
Polyphylla,Polyphylla decemlineata
Scarabaeidae,Popillia
Popillia,Popillia japonica
Scarabaeidae,Protaetia
Protaetia,Protaetia cuprea
Scarabaeidae,Strategus
Strategus,Strategus aloeus
Scarabaeidae,Trichiotinus
Trichiotinus,Trichiotinus assimilis
Trichiotinus,Trichiotinus texanus
Scarabaeidae,Trichius
Trichius,Trichius fasciatus
Scarabaeidae,Trigonopeltastes
Trigonopeltastes,Trigonopeltastes delta
Scarabaeidae,Trypoxylus
Trypoxylus,Trypoxylus dichotomus
Scarabaeidae,Valgus
Valgus,Valgus hemipterus
Coleoptera,Silphidae
Silphidae,Necrodes
Necrodes,Necrodes surinamensis
Silphidae,Necrophila
Necrophila,Necrophila americana
Silphidae,Nicrophorus
Nicrophorus,Nicrophorus orbicollis
Nicrophorus,Nicrophorus tomentosus
Nicrophorus,Nicrophorus vespilloides
Silphidae,Oiceoptoma
Oiceoptoma,Oiceoptoma thoracicum
Silphidae,Phosphuga
Phosphuga,Phosphuga atrata
Coleoptera,Staphylinidae
Staphylinidae,Ocypus
Ocypus,Ocypus olens
Coleoptera,Tenebrionidae
Tenebrionidae,Bolitotherus
Bolitotherus,Bolitotherus cornutus
Tenebrionidae,Eleodes
Eleodes,Eleodes obscura
Eleodes,Eleodes osculans
Tenebrionidae,Lagria
Lagria,Lagria hirta
Coleoptera,Zopheridae
Zopheridae,Phloeodes
Phloeodes,Phloeodes diabolicus
Zopheridae,Zopherus
Zopherus,Zopherus nodulosus
Insecta,Dermaptera
Dermaptera,Anisolabididae
Anisolabididae,Euborellia
Euborellia,Euborellia annulipes
Dermaptera,Forficulidae
Forficulidae,Forficula
Forficula,Forficula auricularia
Insecta,Diptera
Diptera,Asilidae
Asilidae,Dioctria
Dioctria,Dioctria hyalipennis
Asilidae,Efferia
Efferia,Efferia aestuans
Asilidae,Laphria
Laphria,Laphria macquarti
Laphria,Laphria thoracica
Asilidae,Mallophora
Mallophora,Mallophora fautrix
Mallophora,Mallophora leschenaulti
Asilidae,Microstylum
Microstylum,Microstylum morosum
Asilidae,Promachus
Promachus,Promachus hinei
Promachus,Promachus rufipes
Asilidae,Triorla
Triorla,Triorla interrupta
Diptera,Bibionidae
Bibionidae,Plecia
Plecia,Plecia nearctica
Diptera,Bombyliidae
Bombyliidae,Bombylius
Bombylius,Bombylius major
Bombyliidae,Poecilanthrax
Poecilanthrax,Poecilanthrax lucifer
Bombyliidae,Xenox
Xenox,Xenox tigrinus
Diptera,Calliphoridae
Calliphoridae,Calliphora
Calliphora,Calliphora vicina
Calliphoridae,Chrysomya
Chrysomya,Chrysomya megacephala
Calliphoridae,Lucilia
Lucilia,Lucilia sericata
Diptera,Cecidomyiidae
Cecidomyiidae,Asphondylia
Asphondylia,Asphondylia auripila
Cecidomyiidae,Rabdophaga
Rabdophaga,Rabdophaga strobiloides
Cecidomyiidae,Rhopalomyia
Rhopalomyia,Rhopalomyia californica
Rhopalomyia,Rhopalomyia solidaginis
Diptera,Conopidae
Conopidae,Physocephala
Physocephala,Physocephala tibialis
Diptera,Culicidae
Culicidae,Aedes
Aedes,Aedes aegypti
Aedes,Aedes albopictus
Aedes,Aedes vexans
Culicidae,Culex
Culex,Culex quinquefasciatus
Culicidae,Psorophora
Psorophora,Psorophora ciliata
Diptera,Micropezidae
Micropezidae,Rainieria
Rainieria,Rainieria antennaepes
Diptera,Muscidae
Muscidae,Mesembrina
Mesembrina,Mesembrina meridiana
Muscidae,Musca
Musca,Musca domestica
Muscidae,Stomoxys
Stomoxys,Stomoxys calcitrans
Diptera,Mydidae
Mydidae,Mydas
Mydas,Mydas clavatus
Diptera,Psychodidae
Psychodidae,Clogmia
Clogmia,Clogmia albipunctata
Diptera,Ptychopteridae
Ptychopteridae,Bittacomorpha
Bittacomorpha,Bittacomorpha clavipes
Diptera,Rhagionidae
Rhagionidae,Chrysopilus
Chrysopilus,Chrysopilus thoracicus
Diptera,Scathophagidae
Scathophagidae,Scathophaga
Scathophaga,Scathophaga stercoraria
Diptera,Stratiomyidae
Stratiomyidae,Exaireta
Exaireta,Exaireta spinigera
Stratiomyidae,Hermetia
Hermetia,Hermetia illucens
Stratiomyidae,Ptecticus
Ptecticus,Ptecticus trivittatus
Diptera,Syrphidae
Syrphidae,Allograpta
Allograpta,Allograpta obliqua
Syrphidae,Copestylum
Copestylum,Copestylum mexicanum
Syrphidae,Dioprosopa
Dioprosopa,Dioprosopa clavata
Syrphidae,Episyrphus
Episyrphus,Episyrphus balteatus
Syrphidae,Eristalinus
Eristalinus,Eristalinus aeneus
Eristalinus,Eristalinus taeniops
Syrphidae,Eristalis
Eristalis,Eristalis arbustorum
Eristalis,Eristalis dimidiata
Eristalis,Eristalis flavipes
Eristalis,Eristalis pertinax
Eristalis,Eristalis stipator
Eristalis,Eristalis tenax
Eristalis,Eristalis transversa
Syrphidae,Eupeodes
Eupeodes,Eupeodes corollae
Eupeodes,Eupeodes volucris
Syrphidae,Helophilus
Helophilus,Helophilus fasciatus
Helophilus,Helophilus pendulus
Helophilus,Helophilus trivittatus
Syrphidae,Melangyna
Melangyna,Melangyna novaezelandiae
Syrphidae,Merodon
Merodon,Merodon equestris
Syrphidae,Milesia
Milesia,Milesia virginiensis
Syrphidae,Myathropa
Myathropa,Myathropa florea
Syrphidae,Ocyptamus
Ocyptamus,Ocyptamus fuscipennis
Syrphidae,Palpada
Palpada,Palpada vinetorum
Syrphidae,Paragus
Paragus,Paragus haemorrhous
Syrphidae,Scaeva
Scaeva,Scaeva affinis
Scaeva,Scaeva pyrastri
Syrphidae,Sphaerophoria
Sphaerophoria,Sphaerophoria scripta
Syrphidae,Spilomyia
Spilomyia,Spilomyia longicornis
Syrphidae,Syritta
Syritta,Syritta pipiens
Syrphidae,Toxomerus
Toxomerus,Toxomerus geminatus
Toxomerus,Toxomerus marginatus
Toxomerus,Toxomerus occidentalis
Toxomerus,Toxomerus politus
Syrphidae,Volucella
Volucella,Volucella bombylans
Volucella,Volucella inanis
Volucella,Volucella pellucens
Volucella,Volucella zonaria
Diptera,Tabanidae
Tabanidae,Tabanus
Tabanus,Tabanus atratus
Diptera,Tachinidae
Tachinidae,Hystricia
Hystricia,Hystricia abrupta
Tachinidae,Tachina
Tachina,Tachina fera
Tachinidae,Trichopoda
Trichopoda,Trichopoda pennipes
Tachinidae,Trigonospila
Trigonospila,Trigonospila brevifacies
Diptera,Tephritidae
Tephritidae,Eurosta
Eurosta,Eurosta solidaginis
Diptera,Tipulidae
Tipulidae,Tipula
Tipula,Tipula abdominalis
Diptera,Ulidiidae
Ulidiidae,Delphinia
Delphinia,Delphinia picta
Insecta,Ephemeroptera
Ephemeroptera,Ephemeridae
Ephemeridae,Hexagenia
Hexagenia,Hexagenia limbata
Insecta,Hemiptera
Hemiptera,Acanaloniidae
Acanaloniidae,Acanalonia
Acanalonia,Acanalonia bivittata
Acanalonia,Acanalonia conica
Hemiptera,Acanthosomatidae
Acanthosomatidae,Acanthosoma
Acanthosoma,Acanthosoma haemorrhoidale
Acanthosomatidae,Elasmostethus
Elasmostethus,Elasmostethus cruciatus
Elasmostethus,Elasmostethus interstinctus
Acanthosomatidae,Elasmucha
Elasmucha,Elasmucha grisea
Hemiptera,Adelgidae
Adelgidae,Adelges
Adelges,Adelges tsugae
Hemiptera,Alydidae
Alydidae,Hyalymenus
Hyalymenus,Hyalymenus tarsatus
Alydidae,Riptortus
Riptortus,Riptortus pedestris
Hemiptera,Aphalaridae
Aphalaridae,Glycaspis
Glycaspis,Glycaspis brimblecombei
Aphalaridae,Pachypsylla
Pachypsylla,Pachypsylla celtidismamma
Pachypsylla,Pachypsylla venusta
Hemiptera,Aphididae
Aphididae,Aphis
Aphis,Aphis nerii
Aphididae,Hormaphis
Hormaphis,Hormaphis hamamelidis
Aphididae,Melaphis
Melaphis,Melaphis rhois
Aphididae,Tuberolachnus
Tuberolachnus,Tuberolachnus salignus
Hemiptera,Aphrophoridae
Aphrophoridae,Philaenus
Philaenus,Philaenus spumarius
Hemiptera,Belostomatidae
Belostomatidae,Lethocerus
Lethocerus,Lethocerus americanus
Hemiptera,Cercopidae
Cercopidae,Cercopis
Cercopis,Cercopis vulnerata
Cercopidae,Prosapia
Prosapia,Prosapia bicincta
Hemiptera,Cicadellidae
Cicadellidae,Cicadella
Cicadella,Cicadella viridis
Cicadellidae,Colladonus
Colladonus,Colladonus clitellarius
Cicadellidae,Cuerna
Cuerna,Cuerna costalis
Cicadellidae,Excultanus
Excultanus,Excultanus excultus
Cicadellidae,Graphocephala
Graphocephala,Graphocephala atropunctata
Graphocephala,Graphocephala coccinea
Graphocephala,Graphocephala fennahi
Graphocephala,Graphocephala versuta
Cicadellidae,Homalodisca
Homalodisca,Homalodisca vitripennis
Cicadellidae,Jikradia
Jikradia,Jikradia olitoria
Cicadellidae,Oncometopia
Oncometopia,Oncometopia orbona
Cicadellidae,Orientus
Orientus,Orientus ishidae
Cicadellidae,Paraulacizes
Paraulacizes,Paraulacizes irrorata
Cicadellidae,Tylozygus
Tylozygus,Tylozygus bifidus
Hemiptera,Cicadidae
Cicadidae,Amphipsalta
Amphipsalta,Amphipsalta zelandica
Cicadidae,Cicada
Cicada,Cicada orni
Cicadidae,Cyclochila
Cyclochila,Cyclochila australasiae
Cicadidae,Graptopsaltria
Graptopsaltria,Graptopsaltria nigrofuscata
Cicadidae,Magicicada
Magicicada,Magicicada septendecim
Cicadidae,Megatibicen
Megatibicen,Megatibicen auletes
Megatibicen,Megatibicen dealbatus
Megatibicen,Megatibicen resh
Cicadidae,Neotibicen
Neotibicen,Neotibicen canicularis
Neotibicen,Neotibicen lyricen
Neotibicen,Neotibicen pruinosus
Neotibicen,Neotibicen superbus
Neotibicen,Neotibicen tibicen
Cicadidae,Pacarina
Pacarina,Pacarina puella
Cicadidae,Psaltoda
Psaltoda,Psaltoda plaga
Hemiptera,Coreidae
Coreidae,Acanthocephala
Acanthocephala,Acanthocephala alata
Acanthocephala,Acanthocephala declivis
Acanthocephala,Acanthocephala femorata
Acanthocephala,Acanthocephala terminalis
Coreidae,Anasa
Anasa,Anasa tristis
Coreidae,Chelinidea
Chelinidea,Chelinidea vittiger
Coreidae,Coreus
Coreus,Coreus marginatus
Coreidae,Euthochtha
Euthochtha,Euthochtha galeator
Coreidae,Gonocerus
Gonocerus,Gonocerus acuteangulatus
Coreidae,Hypselonotus
Hypselonotus,Hypselonotus interruptus
Hypselonotus,Hypselonotus punctiventris
Coreidae,Leptoglossus
Leptoglossus,Leptoglossus clypealis
Leptoglossus,Leptoglossus occidentalis
Leptoglossus,Leptoglossus oppositus
Leptoglossus,Leptoglossus phyllopus
Leptoglossus,Leptoglossus zonatus
Coreidae,Thasus
Thasus,Thasus gigas
Thasus,Thasus neocalifornicus
Hemiptera,Cydnidae
Cydnidae,Sehirus
Sehirus,Sehirus cinctus
Hemiptera,Flatidae
Flatidae,Flatormenis
Flatormenis,Flatormenis proxima
Flatidae,Metcalfa
Metcalfa,Metcalfa pruinosa
Flatidae,Ormenoides
Ormenoides,Ormenoides venusta
Flatidae,Siphanta
Siphanta,Siphanta acuta
Hemiptera,Fulgoridae
Fulgoridae,Lycorma
Lycorma,Lycorma delicatula
Fulgoridae,Pyrops
Pyrops,Pyrops candelaria
Hemiptera,Gelastocoridae
Gelastocoridae,Gelastocoris
Gelastocoris,Gelastocoris oculatus
Hemiptera,Gerridae
Gerridae,Aquarius
Aquarius,Aquarius remigis
Hemiptera,Largidae
Largidae,Largus
Largus,Largus californicus
Largus,Largus succinctus
Largidae,Stenomacra
Stenomacra,Stenomacra marginella
Hemiptera,Lygaeidae
Lygaeidae,Kleidocerys
Kleidocerys,Kleidocerys resedae
Lygaeidae,Lygaeus
Lygaeus,Lygaeus equestris
Lygaeus,Lygaeus kalmii
Lygaeus,Lygaeus turcicus
Lygaeidae,Melacoryphus
Melacoryphus,Melacoryphus lateralis
Lygaeidae,Neacoryphus
Neacoryphus,Neacoryphus bicrucis
Lygaeidae,Oncopeltus
Oncopeltus,Oncopeltus fasciatus
Lygaeidae,Spilostethus
Spilostethus,Spilostethus pandurus
Spilostethus,Spilostethus saxatilis
Hemiptera,Membracidae
Membracidae,Entylia
Entylia,Entylia carinata
Membracidae,Membracis
Membracis,Membracis mexicana
Hemiptera,Miridae
Miridae,Adelphocoris
Adelphocoris,Adelphocoris lineolatus
Miridae,Closterotomus
Closterotomus,Closterotomus norwegicus
Miridae,Deraeocoris
